2023-10-24 10:23:45.584 [info] Log level: Info
2023-10-24 10:23:45.584 [info] Validating found git in: "git"
2023-10-24 10:23:45.584 [info] Using git "2.25.1" from "git"
2023-10-24 10:23:45.584 [info] > git rev-parse --show-toplevel [24ms]
2023-10-24 10:23:45.584 [info] > git rev-parse --show-toplevel [3ms]
2023-10-24 10:23:45.584 [info] > git rev-parse --show-toplevel [18ms]
2023-10-24 10:23:45.590 [info] > git rev-parse --show-toplevel [10ms]
2023-10-24 10:23:45.953 [info] > git rev-parse --show-toplevel [6ms]
2023-10-24 10:23:46.149 [info] > git rev-parse --show-toplevel [9ms]
2023-10-24 10:23:46.282 [info] > git rev-parse --show-toplevel [10ms]
2023-10-24 10:24:06.746 [info] > git rev-parse --show-toplevel [14ms]
2023-10-24 10:24:07.841 [info] > git rev-parse --show-toplevel [8ms]
2023-10-24 10:24:09.884 [info] > git rev-parse --show-toplevel [18ms]
2023-10-24 10:24:12.658 [info] > git rev-parse --show-toplevel [4ms]
2023-10-24 10:25:59.140 [info] > git rev-parse --show-toplevel [34ms]
2023-10-24 10:29:17.580 [info] > git rev-parse --show-toplevel [2ms]
2023-10-24 10:30:39.292 [info] > git rev-parse --show-toplevel [3ms]
2023-10-24 10:32:02.030 [info] > git rev-parse --show-toplevel [14ms]
2023-10-24 10:35:55.827 [info] > git rev-parse --show-toplevel [1ms]
2023-10-24 10:39:18.601 [info] > git rev-parse --show-toplevel [30ms]
2023-10-24 10:40:32.925 [info] > git rev-parse --show-toplevel [21ms]
2023-10-24 10:41:55.918 [info] > git rev-parse --show-toplevel [3ms]
2023-10-24 10:42:39.549 [info] > git rev-parse --show-toplevel [8ms]
2023-10-24 10:45:11.212 [info] > git rev-parse --show-toplevel [12ms]
2023-10-24 10:45:59.075 [info] > git rev-parse --show-toplevel [18ms]
2023-10-24 10:46:04.619 [info] > git rev-parse --show-toplevel [3ms]
2023-10-24 10:46:27.813 [info] > git rev-parse --show-toplevel [3ms]
2023-10-24 10:46:28.543 [info] > git rev-parse --show-toplevel [2ms]
2023-10-24 10:46:29.158 [info] > git rev-parse --show-toplevel [8ms]
2023-10-24 10:47:12.224 [info] > git rev-parse --show-toplevel [4ms]
2023-10-24 10:49:41.968 [info] > git rev-parse --show-toplevel [14ms]
2023-10-24 10:53:12.150 [info] > git rev-parse --show-toplevel [21ms]
2023-10-24 10:53:57.501 [info] > git rev-parse --show-toplevel [1ms]
2023-10-24 10:55:53.384 [info] > git rev-parse --show-toplevel [22ms]
2023-10-24 10:58:48.919 [info] > git rev-parse --show-toplevel [3ms]
2023-10-24 10:58:50.921 [info] > git rev-parse --show-toplevel [2ms]
2023-10-24 10:58:51.944 [info] > git rev-parse --show-toplevel [3ms]
